instance;num_vertices;relaxed_val;relaxed_time;survive_net_val;survive_net_time;gomory_hu_val;gomory_hu_time;perfect_matching_val;perfect_matching_time;short_cutting_val;short_cutting_time
../../../testInst/rg-016-q-2x2-W0.3.0001.ccpdp;32;208116;1;302090;4;0;0;302090;0;331725;0
../../../testInst/rg-016-q-2x2-W0.3.0002.ccpdp;32;231474;1;323374;4;0;0;353416;0;326431;0
../../../testInst/rg-016-q-2x2-W0.3.0003.ccpdp;32;233782;1;294031;4;0;0;294031;0;294031;0
../../../testInst/rg-016-q-2x2-W0.4.0001.ccpdp;32;178395;1;259178;3;0;0;259178;0;286361;0
../../../testInst/rg-016-q-2x2-W0.4.0002.ccpdp;32;198411;1;277179;4;0;0;302931;0;279798;0
../../../testInst/rg-016-q-2x2-W0.4.0003.ccpdp;32;200383;1;252025;4;0;0;252025;0;252025;0
../../../testInst/rg-016-q-2x2.0001.ccpdp;32;297320;1;392014;4;0;0;392014;0;423767;0
../../../testInst/rg-016-q-2x2.0002.ccpdp;32;317930;1;485720;7;0;0;544076;0;443866;0
../../../testInst/rg-016-q-2x2.0003.ccpdp;32;327955;1;420046;5;0;0;420046;0;420046;0
../../../testInst/rg-016-q-3x3-W0.1.0001.ccpdp;32;335803;1;392745;6;0;0;392745;0;392745;0
